date;open;high;low;close;volume
1994-05-03;3786.9;3788.1;3773.1;3775.3;
1994-05-04;3774.9;3775.1;3756;3757.7;
1994-05-05;3757.5;3770.6;3752.6;3770.6;
1994-05-06;3772.6;3780.3;3767.8;3771;
1994-05-09;3762.2;3762.2;3732.4;3742.1;
1994-05-10;3740.4;3753.4;3740.4;3753.3;
1994-05-11;3758.9;3759;3740.7;3742.5;
1994-05-12;3734.7;3742.4;3728.9;3742.4;
1994-05-13;3746.2;3747.5;3720.3;3721.8;
1994-05-16;3714.4;3717.6;3705.9;3706.9;
1994-05-17;3701.8;3707.8;3699.6;3707.2;
1994-05-18;3727;3731.9;3711.6;3711.7;
1994-05-19;3707.5;3717.5;3706.5;3713.5;
1994-05-20;3716.1;3717.9;3711.5;3714.6;
1994-05-23;3721.8;3721.9;3709.2;3709.3;
1994-05-24;3703.7;3703.7;3689.9;3691.4;
1994-05-25;3690.8;3690.8;3628.8;3629.4;
1994-05-26;3628.1;3628.4;3608.5;3616.4;
1994-05-27;3617.6;3621.7;3569.4;3572.3;
1994-05-31;3571.6;3572.4;3543.5;3564.3;
1994-06-01;3567.6;3569.9;3537.6;3537.7;
1994-06-02;3539.5;3556.3;3538.6;3556.3;
1994-06-03;3556.6;3564.3;3553.2;3557.3;
1994-06-06;3553.6;3573.6;3553.3;3571.4;
1994-06-07;3576;3581.4;3570.3;3577.6;
1994-06-08;3579.2;3600.8;3578.6;3600.8;
1994-06-09;3603;3606.3;3598.6;3599.3;
1994-06-10;3597.2;3608.6;3596.4;3608.5;
1994-06-13;3614.8;3614.8;3593.5;3595.8;
1994-06-14;3594.7;3594.7;3578.7;3578.7;
1994-06-15;3580.9;3581;3559.7;3559.7;
1994-06-16;3551.5;3551.5;3534.2;3534.2;
1994-06-17;3537.5;3546.3;3526;3527.1;
1994-06-20;3493.7;3494.7;3468;3478.7;
1994-06-21;3478.4;3480.6;3461.2;3461.9;
1994-06-22;3457.2;3469.9;3456.8;3461.2;
1994-06-23;3459.5;3462.4;3435.3;3436.9;
1994-06-24;3421.2;3421.2;3374.2;3374.2;
1994-06-27;3341;3363.4;3339.3;3363.4;
1994-06-28;3390.1;3393;3383.5;3384.2;
1994-06-29;3381.4;3415.4;3381.4;3415.2;
1994-06-30;3421;3425.7;3411.5;3414.1;
1994-07-01;3410.3;3416.2;3406.9;3415.8;
1994-07-04;3410.2;3430.4;3408;3430.4;
1994-07-05;3434;3438.2;3430.2;3435.8;
1994-07-06;3434.2;3441;3430.7;3438.2;
1994-07-07;3440.5;3456.1;3440;3454.7;
1994-07-08;3455.8;3460.9;3452.8;3454.6;
1994-07-11;3452.3;3474;3452;3473.9;
1994-07-12;3475.1;3478.4;3465.9;3465.9;
1994-07-13;3468.8;3493.7;3468.7;3493.7;
1994-07-14;3498.4;3529.7;3498.4;3529.7;
1994-07-15;3543.7;3551.4;3541.5;3551.3;
1994-07-18;3547.8;3560.4;3547.8;3560.3;
1994-07-19;3567.2;3575.8;3565.9;3574.4;
1994-07-20;3580.8;3592.5;3580.8;3587;
1994-07-21;3582.2;3600.9;3582.2;3600.9;
1994-07-22;3612.4;3631.8;3610.4;3630.9;
1994-07-25;3628.5;3628.6;3619.8;3624;
1994-07-26;3627.8;3644.8;3627.8;3641.1;
